price,baths,beds,dogs_allowed,comes_furnished,type,sqfeet,parking_options,laundry_options,state,lat,long,id
430,1,1,0,1,apartment,400,off-street parking,laundry in bldg,id,42.8451,'-112.417,7009049577
1099,1,1,0,0,apartment,750,attached garage,w/d in unit,wi,42.5293,'-87.8855,7010089520
1800,1,1,0,1,apartment,1300,off-street parking,w/d in unit,wa,48.0881,'-123.12,7010586116
1150,1,1,0,1,apartment,600,off-street parking,w/d in unit,fl,30.1775,'-85.7098,7015075462
620,1,1,0,0,apartment,600,off-street parking,laundry in bldg,sd,43.5053,'-96.7809,7015950657
600,1,1,0,0,house,800,detached garage,w/d hookups,in,39.4928,'-87.3774,7016126595
269,1,1,0,1,apartment,350,off-street parking,laundry on site,sc,33.6994,'-78.9137,7017964777
550,1,1,0,0,apartment,600,off-street parking,w/d in unit,ia,41.3015,'-91.6987,7018405961
1375,1,1,0,1,condo,420,carport,laundry in bldg,tx,27.8239,'-97.3878,7020770435
795,1,1,0,0,apartment,600,off-street parking,laundry in bldg,ak,61.1661,'-149.96,7020784558
1775,1,1,0,0,apartment,700,carport,laundry on site,ca,36.9157,'-121.783,7022724572
810,1,1,0,0,apartment,827,detached garage,w/d in unit,mn,46.7932,'-96.8397,7023115572
1395,1,1,0,1,apartment,1300,off-street parking,w/d in unit,md,,,7024023948
675,1,1,0,1,apartment,900,street parking,laundry in bldg,tx,29.2983,'-94.793,7024426743
500,1,1,0,0,apartment,876,off-street parking,w/d in unit,al,31.217,'-85.4026,7024573642
714,1,1,0,0,apartment,662,off-street parking,w/d hookups,ms,32.3632,'-90.1541,7024992136
690,1,1,0,0,apartment,710,attached garage,laundry in bldg,ny,43.132,'-76.24,7026076475
875,1,1,0,0,apartment,800,off-street parking,laundry in bldg,pa,40.9793,'-75.143,7026427577
500,1,1,0,0,apartment,400,off-street parking,w/d in unit,mo,38.0236,'-92.6232,7026484924
885,1,1,0,0,apartment,550,off-street parking,laundry in bldg,wi,43.1052,'-89.5073,7026803382
575,1,1,0,0,apartment,1000,off-street parking,laundry in bldg,mn,44.0684,'-91.7076,7027489694
900,1,1,0,0,apartment,670,off-street parking,laundry in bldg,ct,41.3135,'-72.9218,7027659103
1000,1,1,0,0,apartment,545,carport,w/d in unit,wa,47.0159,'-124.164,7027702704
1078,1,1,0,0,apartment,700,carport,laundry on site,or,44.0682,'-123.082,7027786556
400,1,1,0,0,duplex,500,street parking,no laundry on site,il,39.8122,'-89.6463,7027891555
775,1,1,0,0,house,900,street parking,laundry on site,hi,21.3576,'-157.856,7028032357
1100,1,1,0,0,apartment,560,carport,w/d in unit,mi,42.97,'-85.6431,7028192067
650,1,1,0,1,house,650,street parking,laundry in bldg,ca,36.8159,'-119.646,7028385179
650,1,1,0,0,apartment,500,off-street parking,laundry in bldg,ca,32.6726,'-115.485,7028697789
625,1,1,0,0,apartment,900,off-street parking,w/d hookups,oh,40.9211,'-81.1276,7029811762
800,1,1,0,0,apartment,350,off-street parking,no laundry on site,or,42.3899,'-122.922,7029961344
714,1,1,0,0,apartment,662,off-street parking,w/d hookups,ms,32.3632,'-90.1541,7030658650
1250,1,1,0,1,apartment,500,off-street parking,laundry in bldg,ny,42.6874,'-73.8136,7030696605
675,1,1,0,0,apartment,600,no parking,laundry in bldg,ma,41.6201,'-70.9316,7031046934
430,1,1,0,1,apartment,400,off-street parking,laundry in bldg,id,42.845,'-112.417,7031317344
926,1,1,0,0,apartment,440,off-street parking,laundry in bldg,ma,42.1133,'-72.597,7031317777
400,1,1,0,0,manufactured,900,street parking,no laundry on site,az,35.1545,'-111.679,7031542575
850,1,1,0,0,apartment,1000,off-street parking,laundry in bldg,vt,43.8065,'-73.0882,7031671534
926,1,1,0,0,apartment,440,off-street parking,laundry on site,ma,42.1133,'-72.597,7032009996
1850,1,1,0,0,apartment,600,off-street parking,laundry in bldg,co,39.6256,'-106.284,7032361137
950,1,1,0,0,apartment,700,street parking,laundry on site,nj,39.6258,'-75.5073,7032761295
425,1,1,0,0,apartment,520,off-street parking,laundry in bldg,va,37.385,'-80.8227,7032933269
750,1,1,0,0,apartment,500,street parking,no laundry on site,nj,39.5591,'-75.4521,7032954367
200,1,1,0,1,cottage/cabin,900,off-street parking,no laundry on site,ak,62.2875,'-150.248,7033322547
600,1,1,0,0,apartment,750,street parking,w/d hookups,ny,'-24.9558,'-94.7621,7033929122
1700,1,1,0,1,apartment,500,attached garage,laundry in bldg,dc,38.9421,'-77.0599,7034134371
1000,1,1,0,0,apartment,500,off-street parking,laundry on site,nj,40.5325,'-74.3375,7034486914
630,1,1,0,1,apartment,650,off-street parking,laundry in bldg,mn,44.0246,'-92.4774,7034896135
700,1,1,0,0,cottage/cabin,650,off-street parking,no laundry on site,id,43.5197,'-111.527,7035143253
550,1,1,0,0,apartment,600,off-street parking,laundry in bldg,pa,42.0646,'-80.0857,7035779127
900,1,1,0,0,apartment,450,off-street parking,laundry in bldg,pa,40.4538,'-79.9374,7036419174
265,1,1,0,0,apartment,610,off-street parking,laundry on site,ca,39.535,'-119.762,7036586626
1100,1,1,0,0,apartment,754,off-street parking,laundry in bldg,mn,44.9497,'-93.3373,7036630559
1080,1,1,0,0,apartment,750,off-street parking,laundry in bldg,wi,42.3524,'-88.0545,7036660151
450,1,1,0,0,apartment,900,street parking,w/d in unit,oh,41.0732,'-80.6553,7036735493
700,1,1,0,0,cottage/cabin,650,off-street parking,no laundry on site,id,43.5197,'-111.527,7037522627
9001300,1,1,0,1,apartment,750,off-street parking,laundry on site,fl,27.4759,'-82.6167,7037737404
1150,1,1,0,1,apartment,750,street parking,laundry on site,id,43.6227,'-116.2,7038007970
1500,1,1,0,0,apartment,1500,carport,w/d in unit,wa,47.0159,'-124.164,7038031870
1500,1,1,0,0,apartment,1500,carport,w/d in unit,wa,47.0159,'-124.164,7038400526
1500,1,1,0,0,apartment,1500,carport,w/d in unit,wa,47.0159,'-124.164,7038402222
1500,1,1,0,0,apartment,1500,carport,w/d in unit,wa,47.0159,'-124.164,7038407161
1500,1,1,0,0,apartment,1500,carport,w/d in unit,wa,47.0159,'-124.164,7038409198
1500,1,1,0,0,apartment,1500,carport,w/d in unit,wa,47.0159,'-124.164,7038410023
999,1,1,0,0,apartment,500,carport,w/d in unit,wa,47.0159,'-124.164,7038925439
1495,1,1,0,0,apartment,500,attached garage,w/d in unit,ma,42.3288,'-71.1329,7038981155
2450,1,1,0,0,apartment,850,street parking,laundry in bldg,ma,42.3816,'-71.1289,7039034161
550,1,1,0,0,apartment,320,off-street parking,no laundry on site,la,30.5287,'-90.544,7039198891
470,1,1,0,1,apartment,610,no parking,laundry in bldg,wi,43.0715,'-89.4014,7039418635
480,1,1,0,0,apartment,650,off-street parking,laundry on site,mi,42.746,'-84.4907,7039420862
1295,1,1,0,1,apartment,650,street parking,laundry on site,ks,39.0565,'-94.5929,7039517605
1010,1,1,0,0,apartment,702,carport,w/d hookups,ca,38.0024,'-121.324,7039818352
825,1,1,0,0,apartment,650,off-street parking,laundry in bldg,ct,41.6771,'-72.9404,7039831183
775,1,1,0,0,apartment,722,off-street parking,w/d hookups,tx,32.3254,'-95.2922,7040071571
700,1,1,0,0,apartment,550,valet parking,laundry in bldg,ny,43.0965,'-75.228,7040378723
810,1,1,0,0,apartment,827,detached garage,w/d in unit,mn,46.7932,'-96.8397,7040383085
700,1,1,0,0,apartment,1000,off-street parking,laundry in bldg,wi,44.9337,'-91.3967,7040620293
900,1,1,0,0,house,400,valet parking,laundry on site,or,44.6112,'-123.217,7040901458
895,1,1,0,0,apartment,350,off-street parking,laundry on site,nh,43.757,'-71.6881,7041312905
265,1,1,0,0,apartment,610,off-street parking,laundry on site,ca,39.535,'-119.762,7041400111
265,1,1,0,0,apartment,610,off-street parking,laundry on site,ca,39.535,'-119.762,7041401364
755,1,1,0,0,apartment,727,street parking,laundry in bldg,pa,40.4312,'-79.7875,7041438552
470,1,1,0,1,apartment,610,no parking,laundry in bldg,wi,43.0715,'-89.4014,7041448229
700,1,1,0,0,cottage/cabin,650,off-street parking,no laundry on site,id,43.5197,'-111.527,7041467511
869,1,1,0,0,apartment,2500,carport,w/d in unit,wa,47.0159,'-124.164,7041478884
899,1,1,0,0,apartment,1500,carport,w/d in unit,co,46.9737,'-124.156,7041730503
540,1,1,0,0,apartment,588,off-street parking,laundry in bldg,oh,39.9747,'-82.8883,7041976641
1095,1,1,0,0,apartment,1000,off-street parking,w/d hookups,or,42.4935,'-122.809,7042015512
545,1,1,0,0,apartment,700,street parking,laundry on site,wi,43.035,'-87.9628,7042032675
1175,1,1,0,0,apartment,800,off-street parking,laundry in bldg,oh,41.481,'-81.8242,7042073475
1465,1,1,0,0,apartment,640,carport,w/d in unit,wa,47.8048,'-122.298,7042687345
1200,1,1,0,0,apartment,600,off-street parking,no laundry on site,md,39.0489,'-76.5935,7043439627
599,1,1,0,0,apartment,650,off-street parking,laundry in bldg,ia,41.2587,'-95.9437,7043951869
3000,1,1,0,0,apartment,924,attached garage,laundry on site,ma,42.3611,'-71.0682,7043989257
1495,1,1,0,0,apartment,1100,off-street parking,w/d in unit,ma,41.6362,'-70.9342,7044033157
500,1,1,0,0,apartment,750,off-street parking,no laundry on site,pa,40.6243,'-79.1488,7044076571
499,1,1,0,0,apartment,500,off-street parking,laundry in bldg,il,38.6629,'-90.2601,7044152253
650,1,1,0,1,apartment,480,street parking,w/d in unit,oh,39.3251,'-81.5411,7044282572
450,1,1,0,1,manufactured,610,off-street parking,no laundry on site,tx,29.0841,'-97.291,7044354564
0,1,1,0,0,apartment,680,carport,laundry on site,ca,36.8149,'-119.711,7044608345
1125,1,1,0,0,apartment,500,street parking,no laundry on site,wi,43.0832,'-89.364,7044714868
875,1,1,0,0,house,640,street parking,laundry in bldg,or,44.0495,'-123.106,7044810364
775,1,1,0,0,house,900,street parking,laundry on site,hi,21.3575,'-157.856,7044862891
1375,1,1,0,1,condo,420,carport,laundry in bldg,tx,27.8239,'-97.3878,7045043140
479,1,1,0,0,apartment,562,off-street parking,laundry on site,oh,39.7824,'-84.0271,7045112157
700,1,1,0,0,apartment,1000,off-street parking,laundry in bldg,wi,44.784,'-91.4877,7045115593
750,1,1,0,0,apartment,800,off-street parking,laundry in bldg,sc,34.6846,'-82.8402,7045154045
675,1,1,0,1,apartment,900,street parking,laundry in bldg,tx,29.2983,'-94.793,7045175467
1465,1,1,0,0,apartment,640,carport,w/d in unit,wa,47.8048,'-122.298,7045222644
563,1,1,0,0,apartment,715,off-street parking,w/d hookups,tn,35.0544,'-89.8554,7045316007
775,1,1,0,0,house,900,street parking,laundry on site,hi,21.3577,'-157.857,7045461987
775,1,1,0,0,house,900,street parking,laundry on site,hi,21.3581,'-157.856,7045927348
900,1,1,0,0,apartment,900,off-street parking,no laundry on site,ca,33.9157,'-117.235,7045961473
